Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
53,48107,1,1,86,118,86,86,86.0,0.0,118,118,118.0,0.0,4240.5471137257,41.573991311,48107.0,0.0,48107,48107,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20.7869956555,20.7869956555,86,118,96.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,145.0,86.0,118.0,20,0,0,0,0,0,0,1,86,1,118,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
123,71620,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,1340.407707,27.92516057,71620.0,0.0,71620,71620,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13.96258028,13.96258028,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,20,0,0,0,0,0,0,1,48,1,48,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,30844,1,1,48,100,48,48,48.0,0.0,100,100,100.0,0.0,4798.340034,64.84243289,30844.0,0.0,30844,30844,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.42121644,32.42121644,48,100,65.33333333,30.022214,901.3333333,0,0,0,0,0,0,0,0,1,98.0,48.0,100.0,32,0,0,0,0,0,0,1,48,1,100,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,5388296,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,33.5913246,1.113524573,1077659.2,2362915.263,5304405,3,5388296,1347074.0,2638510.109,5304405,3,0,0.0,0.0,0,0,1,0,0,0,100,20,0.927937144,0.185587429,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,258,360,4,20,83231.0,0.0,83231,83231,5304405.0,0.0,5304405,5304405,0
56463,37,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,54054.0540540541,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,27027.027027027,27027.027027027,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,349,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,112502790,23,19,2905,5461,865,0,126.3043478,291.3324304,1418,0,287.4210526,474.8470298,74.36260025,0.373324075,2743970.488,4428210.972,10000000,7,112000000,5112098.364,4998328.739,10100000,197,112000000,6248136.611,4843702.816,10100000,48,0,0,0,0,744,616,0.204439374,0.168884701,0,1418,194.5581395,385.2866158,148445.7763,0,0,0,1,0,0,0,0,0,199.1904762,126.3043478,287.4210526,744,0,0,0,0,0,0,23,2905,19,5461,29200,413,5,32,268578.7273,764927.3592,2574881,36252,9955618.0,193661.9523,10000000,9372123,0
53,91847,2,2,90,296,45,45,45.0,0.0,148,148,148.0,0.0,4202.641349,43.55068756,30615.66667,53022.69402,91841,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,21.77534378,21.77534378,45,148,86.2,56.41542342,3182.7,0,0,0,0,0,0,0,0,1,107.75,45.0,148.0,64,0,0,0,0,0,0,2,90,2,296,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,74670120,2,2,104,232,53,51,52.0,1.414213562,165,67,116.0,69.29646456,4.499791885,0.053568951,24900000.0,43000000.0,74500000,30193,74600000,74600000.0,0.0,74600000,74600000,74500000,74500000.0,0.0,74500000,74500000,0,0,0,0,64,72,0.026784476,0.026784476,51,165,77.8,49.16502822,2417.2,0,0,0,0,0,0,0,0,1,97.25,52.0,116.0,64,0,0,0,0,0,0,2,104,2,232,-1,-1,1,32,125584.0,0.0,125584,125584,74500000.0,0.0,74500000,74500000,0
80,100131681,7,6,368,11595,362,0,52.57142857,136.4634959,5792,0,1932.5,2181.008184,119.4726772,0.12982904,8344306.75,28900000.0,100000000,1,100000000,16700000.0,40800000.0,100000000,1,145492,29098.4,59439.61681,135147,46,0,0,0,0,220,200,0.069907945,0.059921095,0,5792,854.5,1666.410641,2776924.423,0,0,0,0,1,0,0,0,0,920.2307692,52.57142857,1932.5,220,0,0,0,0,0,0,7,368,6,11595,251,235,2,20,995.0,0.0,995,995,100000000.0,0.0,100000000,100000000,1
22,1274875,41,44,2664,6954,456,0,64.97560976,109.864573,976,0,158.0454545,312.6752498,7544.269046,66.67320326,15177.08333,104698.3983,954934,0,1274875,31871.875,159146.3098,996119,3,319830,7437.906977,19230.116,104489,1,0,0,0,0,1328,1424,32.16001569,34.51318757,0,976,111.8372093,239.6868477,57449.78495,0,0,0,1,0,0,0,0,1,113.1529412,64.97560976,158.0454545,1328,0,0,0,0,0,0,41,2664,44,6954,29200,243,24,32,0.0,0.0,0,0,0.0,0.0,0,0,0
